City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
135,Alofi,46,NU,1666232473,74,-19.0595,-169.9187,82.29,6.91
136,Saint-Philippe,15,RE,1666232473,75,-21.3585,55.7679,65.79,6.4
137,Paita,97,PE,1666232308,83,-5.0892,-81.1144,62.51,14.99
138,Shimoda,0,JP,1666232475,52,34.6667,138.95,64.76,8.41
139,George Town,20,MY,1666232475,72,5.4112,100.3354,85.93,4.61
140,Seredka,68,RU,1666232475,91,58.1584,28.1858,35.35,5.86
141,Kirakira,81,SB,1666232476,73,-10.4544,161.9205,85.14,8.12
142,Aswān,0,EG,1666232476,43,24.0934,32.907,74.5,8.05
143,Hithadhoo,99,MV,1666232230,77,-0.6,73.0833,80.28,9.42
144,Amberley,0,US,1666232477,44,39.2048,-84.428,45.18,10.36
145,Tolmachëvo,100,RU,1666232477,75,54.9824,82.7363,40.98,11.18
146,Padang,100,ID,1666232478,74,-0.9492,100.3543,80.65,3.0
147,Dosso,99,NE,1666232478,34,13.049,3.1937,79.2,3.74
148,Kaitangata,56,NZ,1666232479,69,-46.2817,169.8464,53.51,16.58
149,Ashland,68,US,1666232479,91,40.8167,-82.2665,38.03,11.41
150,Cherepanovo,100,RU,1666232220,64,54.2222,83.381,38.61,13.91
151,Mikuni,0,JP,1666232480,53,36.2171,136.1519,64.31,8.21
152,Lavrentiya,100,RU,1666232480,87,65.5833,-171.0,36.12,25.19
153,Sokol'skoye,7,RU,1666232481,76,57.1412,43.1589,38.03,8.97
154,Pontal do Paraná,100,BR,1666232481,98,-25.6533,-48.5128,66.29,2.71
155,Punta Alta,100,AR,1666232482,61,-38.8759,-62.0736,63.7,10.16
156,Lata,4,PT,1666232482,95,40.1629,-8.3327,58.08,5.75
157,Pitiquito,6,MX,1666232482,29,30.7,-112.0833,83.93,2.21
158,Chui,80,UY,1666232483,97,-33.6971,-53.4616,58.39,6.49
159,Bubaque,56,GW,1666232483,76,11.2833,-15.8333,80.31,5.03
160,Jalu,78,LY,1666232484,52,29.0331,21.5482,70.21,6.87
161,Evensk,100,RU,1666232484,68,61.95,159.2333,20.34,8.46
162,Mutoko,78,ZW,1666232485,61,-17.397,32.2268,60.84,3.2
163,Mazatlán,75,MX,1666232405,84,23.2167,-106.4167,83.01,5.99
164,Prieska,4,ZA,1666232485,41,-29.6641,22.7474,70.12,3.0
165,Ormara,100,PK,1666232486,71,25.2088,64.6357,77.85,5.39
166,Rafaela,100,AR,1666232413,51,-31.2503,-61.4867,65.98,3.0
167,Isangel,75,VU,1666232486,74,-19.55,169.2667,82.51,6.91
168,Carnarvon,3,AU,1666232487,64,-24.8667,113.6333,70.99,11.41
169,Cabañas,100,CU,1666232487,83,22.9758,-82.9219,73.71,12.68
170,Hobyo,10,SO,1666232488,86,5.3505,48.5268,77.59,17.43
171,Tuktoyaktuk,100,CA,1666232236,86,69.4541,-133.0374,26.6,5.75
172,Souillac,20,MU,1666232489,77,-20.5167,57.5167,66.58,3.44
173,Williams Lake,75,CA,1666232489,54,52.1415,-122.1445,59.05,12.66
174,Kuna,0,US,1666232489,49,43.4918,-116.4201,61.41,0.0
175,Mahabalipuram,94,IN,1666232490,81,12.6264,80.1722,80.65,6.42
176,Lethem,100,GY,1666232490,78,3.3803,-59.7968,79.07,5.39
177,Waipawa,47,NZ,1666232491,54,-41.4122,175.5153,60.37,12.03
178,Yining,37,CN,1666232491,28,29.0361,114.5636,70.99,0.81
179,Baripāda,0,IN,1666232492,80,21.935,86.7214,76.33,7.81
180,Taltal,0,CL,1666232492,66,-25.4,-70.4833,61.32,3.6
181,Barrow,100,US,1666232469,93,71.2906,-156.7887,26.62,6.91
182,Ibrā’,47,OM,1666232493,39,22.6906,58.5334,69.17,1.72
183,Amiens,100,FR,1666232493,91,49.9,2.3,58.19,8.08
184,Bredasdorp,46,ZA,1666232493,94,-34.5322,20.0403,56.61,7.16
185,Lüshunkou,41,CN,1666232426,57,38.8,121.2667,66.42,14.58
186,Talara,90,PE,1666232396,84,-4.5772,-81.2719,63.66,16.93
187,Cidreira,57,BR,1666232494,94,-30.1811,-50.2056,62.89,5.86
188,Bandarbeyla,30,SO,1666232495,90,9.4942,50.8122,77.45,12.33
189,Oranjemund,77,NA,1666232495,88,-28.55,16.4333,60.1,12.21
190,Norman Wells,100,CA,1666232495,93,65.282,-126.8329,32.04,9.22
191,Butaritari,93,KI,1666232496,65,3.0707,172.7902,82.38,12.21
192,Río Gallegos,75,AR,1666232401,61,-51.6226,-69.2181,42.85,20.71
193,Forsytheganj,100,BY,1666232496,95,52.6333,29.7333,36.88,14.74
194,Adrar,87,MR,1666232497,14,20.5022,-10.0711,83.88,6.29
195,Honningsvåg,100,NO,1666232497,70,70.9821,25.9704,37.15,33.38
196,Beloha,0,MG,1666232498,69,-25.1667,45.05,68.99,10.74
197,Nyzy,100,UA,1666232498,88,50.7828,34.7844,43.16,11.32
198,La Ronge,75,CA,1666232498,58,55.1001,-105.2842,53.85,6.91
199,Yuancheng,52,CN,1666232499,60,36.652,107.7896,55.27,11.97
